         n,            x ,         t,                    s,     Pk,     k,    epsilon 
     112       0  0.11200000E+00  0.00000000E+00  0.49708647E-04  0.60799192E-02  0.31156038E-02
     113       0  0.11300000E+00  0.00000000E+00  0.49708647E-04  0.60789391E-02  0.31124826E-02
     114       0  0.11400000E+00  0.00000000E+00  0.49708647E-04  0.60779591E-02  0.31093614E-02
     115       0  0.11500000E+00  0.00000000E+00  0.49708647E-04  0.60769791E-02  0.31062402E-02
     116       0  0.11600000E+00  0.00000000E+00  0.49708647E-04  0.60759990E-02  0.31031190E-02
     117       0  0.11700000E+00  0.00000000E+00  0.49708647E-04  0.60750190E-02  0.30999978E-02
     118       0  0.11800000E+00  0.00000000E+00  0.49708647E-04  0.60740389E-02  0.30968765E-02
     119       0  0.11900000E+00  0.00000000E+00  0.49708647E-04  0.60730589E-02  0.30937553E-02
     120       0  0.12000000E+00  0.00000000E+00  0.49203770E-04  0.60721380E-02  0.30908326E-02
     121       0  0.12100000E+00  0.00000000E+00  0.49203770E-04  0.60712171E-02  0.30879099E-02
     122       0  0.12200000E+00  0.00000000E+00  0.49203770E-04  0.60702962E-02  0.30849871E-02
     123       0  0.12300000E+00  0.00000000E+00  0.49203770E-04  0.60693753E-02  0.30820644E-02
     124       0  0.12400000E+00  0.00000000E+00  0.49203770E-04  0.60684544E-02  0.30791417E-02
     125       0  0.12500000E+00  0.00000000E+00  0.49203770E-04  0.60675335E-02  0.30762190E-02
     126       0  0.12600000E+00  0.00000000E+00  0.49203770E-04  0.60666126E-02  0.30732962E-02
     127       0  0.12700000E+00  0.00000000E+00  0.49203770E-04  0.60656917E-02  0.30703735E-02
     128       0  0.12800000E+00  0.00000000E+00  0.49203770E-04  0.60647709E-02  0.30674508E-02
     129       0  0.12900000E+00  0.00000000E+00  0.49203770E-04  0.60638500E-02  0.30645281E-02
     130       0  0.13000000E+00  0.00000000E+00  0.49203770E-04  0.60629291E-02  0.30616054E-02
     131       0  0.13100000E+00  0.00000000E+00  0.49203770E-04  0.60620082E-02  0.30586826E-02
     132       0  0.13200000E+00  0.00000000E+00  0.49203770E-04  0.60610873E-02  0.30557599E-02
     133       0  0.13300000E+00  0.00000000E+00  0.49203770E-04  0.60601664E-02  0.30528372E-02
     134       0  0.13400000E+00  0.00000000E+00  0.49203770E-04  0.60592455E-02  0.30499145E-02
     135       0  0.13500000E+00  0.00000000E+00  0.49203770E-04  0.60583246E-02  0.30469917E-02
     136       0  0.13600000E+00  0.00000000E+00  0.49203770E-04  0.60574037E-02  0.30440690E-02
     137       0  0.13700000E+00  0.00000000E+00  0.49203770E-04  0.60564828E-02  0.30411463E-02
     138       0  0.13800000E+00  0.00000000E+00  0.49203770E-04  0.60555619E-02  0.30382236E-02
     139       0  0.13900000E+00  0.00000000E+00  0.49203770E-04  0.60546410E-02  0.30353008E-02
     140       0  0.14000000E+00  0.00000000E+00  0.49203770E-04  0.60537201E-02  0.30323781E-02
     141       0  0.14100000E+00  0.00000000E+00  0.49203770E-04  0.60527992E-02  0.30294554E-02
     142       0  0.14200000E+00  0.00000000E+00  0.49203770E-04  0.60518783E-02  0.30265327E-02
     143       0  0.14300000E+00  0.00000000E+00  0.49203770E-04  0.60509575E-02  0.30236099E-02
     144       0  0.14400000E+00  0.00000000E+00  0.49203770E-04  0.60500366E-02  0.30206872E-02
     145       0  0.14500000E+00  0.00000000E+00  0.49203770E-04  0.60491157E-02  0.30177645E-02
     146       0  0.14600000E+00  0.00000000E+00  0.49203770E-04  0.60481948E-02  0.30148418E-02
     147       0  0.14700000E+00  0.00000000E+00  0.49203770E-04  0.60472739E-02  0.30119190E-02
     148       0  0.14800000E+00  0.00000000E+00  0.49203770E-04  0.60463530E-02  0.30089963E-02
     149       0  0.14900000E+00  0.00000000E+00  0.49203770E-04  0.60454321E-02  0.30060736E-02
     150       0  0.15000000E+00  0.00000000E+00  0.49203770E-04  0.60445112E-02  0.30031509E-02
     151       0  0.15100000E+00  0.00000000E+00  0.49203770E-04  0.60435903E-02  0.30002281E-02
     152       0  0.15200000E+00  0.00000000E+00  0.49203770E-04  0.60426694E-02  0.29973054E-02
     153       0  0.15300000E+00  0.00000000E+00  0.49203770E-04  0.60417485E-02  0.29943827E-02
